Title,Ingredients,Instructions,load_dte,batch_number
Fried Eggplant (Crispy Fritters / Talong Okoy),"▢
5 pieces Chinese eggplants
▢
2 pieces eggs
▢
1 bunch green onions chopped
▢
4 tablespoons cornstarch
▢
8 tablespoons all-purpose flour
▢
½ teaspoon baking powder
▢
5 teaspoons salt
▢
¼ teaspoon ground black pepper
▢
2 cups water
▢
2 cups cooking oil","Grate the eggplants and arrange in a bowl. Sprinkle 4 teaspoons of salt. Toss until the eggplants are evenly coated. Let it stay for 10 minutes.
5 pieces Chinese eggplants, 5 teaspoons salt
Add 2 cups of water into the bowl. Wash the eggplants to get rid of the salt. Grab the eggplants with your hand and squeeze until the water drains completely. You can also put this in a cheesecloth and wring it until the water drains out.
2 cups water
Combine flour, cornstarch, and baking powder in a bowl. Mix well and then set aside.
4 tablespoons cornstarch, 8 tablespoons all-purpose flour, ½ teaspoon baking powder
Beat the eggs in a large bowl. Add the eggplants, green onions, salt, and ground black pepper. Mix it well.
2 pieces eggs, 2 tablespoons green onion, ¼ teaspoon ground black pepper, 5 pieces Chinese eggplants
Gradually add the flour and cornstarch mixture. Mix until all the ingredients are well blended.
8 tablespoons all-purpose flour, 4 tablespoons cornstarch
Heat 2 cups of oil in a small pan. Note: the oil must be deep enough for the mixture to float.
2 cups cooking oil
Scoop around 3 tablespoons of the eggplant mixture into the pan with hot oil. Fry until both sides are brown and crispy. Drain the excess oil and arrange the eggplant fritters on a serving plate.
Make the dipping sauce by combining vinegar, sugar, salt, ground black pepper, and soy sauce in a bowl. Microwave for 30 seconds and then stir until well blended. Add chili peppers, onion, garlic, and green onion. Serve with the eggplant fritters.
¼ teaspoon ground black pepper, 1 cup white vinegar, 2 teaspoons soy sauce, ½ piece red onion, 3 pieces Thai chili pepper, 3 cloves garlic, 1 teaspoon sugar, ¼ teaspoon salt, 1 bunch green onions
Share and enjoy!",2024-08-08 15:19:45,1
Stir Fry Eggplant Recipe,"▢
4 pieces Chinese eggplant sliced
▢
4 ounces ground pork
▢
2 tablespoons cornstarch
▢
2 tablespoons white vinegar
▢
¼ cup green onions chopped
▢
1 tablespoon salt
▢
2 cups water
▢
1 tablespoon cooking oil","Combine 2 cups water, 1 tablespoon salt, and 2 tablespoons vinegar in a large mixing bowl. Stir and then add the sliced eggplants. Soak it for 20 minutes.
Make the sauce by combining all the sauce ingredients as listed above the ingredient section in a bowl. Mix well and then set aside.
Remove the eggplants from the bowl and place it in a colander. Gently squeeze until enough water has been extracted from the eggplants. Sprinkle the cornstarch over it and then toss the eggplants until it gets evenly coated. Set this aside.
Heat 1 tablespoon of cooking oil in a pan. Add the ground pork. Sauté this until the color turns light to medium brown.
Add the eggplants. Continue sautéing for 2 minutes.
Pour the sauce into the pan. Stir and continue cooking using medium heat until the sauce thickens.
Garnish with chopped green onions and then transfer to a serving plate.
Serve! Share and enjoy.",2024-08-08 15:19:45,1
Ham Fried Rice,"▢
4 cups cooked rice
▢
1 cup ham chopped
▢
1 piece bell pepper chopped
▢
1 piece onion chopped
▢
½ cup green onion chopped (white part separated from the green part)
▢
2 pieces eggs beaten
▢
2 tablespoons soy sauce
▢
1 teaspoon sesame oil
▢
4 tablespoons canola oil
▢
Salt and ground black pepper to taste","Heat the oil in a pan. Fry the eggs until done. Remove and place on a clean plate. Chop using your spatula and set it aside.
4 tablespoons canola oil, 2 pieces eggs
Saute the ham using the remaining cooking oil for 2 minutes. Add onion, bell pepper, and white part of the green onion. Continue to saute for 1 minute.
1 cup ham, 1 piece bell pepper, 1 piece onion, ½ cup green onion
Add the cooked rice. Toss until all the ingredients are well blended.
4 cups cooked rice
Pour the soy sauce and sesame oil into the pan. Toss.
2 tablespoons soy sauce, 1 teaspoon sesame oil
Add the cooked egg and green onions. Toss and continue cooking for 3 minutes.
Season with salt and ground black pepper.
Salt and ground black pepper to taste
Serve warm. Share and enjoy!",2024-08-08 15:19:45,1
Crispy Pancit Canton Noodles Recipe,"▢
250 grams Pancit canton
▢
37 grams Knorr crab and Corn soup
▢
10 pieces shrimp cleaned
▢
12 pieces quail eggs boiled
▢
¼ lb. chicken thigh sliced
▢
1 piece carrot thinly sliced crosswise
▢
3 pieces baby bok choy halved
▢
1 bunch green onion sliced
▢
3 cloves garlic chopped
▢
2 tablespoons oyster sauce
▢
1 teaspoon sesame oil
▢
2 cups water
▢
2 cups cooking oil","Start to blanch the vegetables and shrimp by boiling the water in a cooking pot. Put the carrot first, quickly boil for 1-minute. Remove the carrot from the cooking pot and transfer to a bowl with ice cold water. Soak it for 2 minutes and then remove from the bowl and place in a clean plate. Do the same step with the bok choy and shrimp. Set aside.
10 pieces shrimp, 1 piece carrot, 3 pieces baby bok choy
Fry the pancit canton noodles. Start by heating 2 cups of oil in a wok. Add the pancit canton. Deep fry while gently tossing until it becomes crispy (around 30 to 45 seconds). Remove from the cooking pot. Let the oil drip before arranging it on a serving plate.
250 grams Pancit canton, 2 cups cooking oil
Make the sauce by sautéing garlic and the white part of the green onion. Add the chicken thigh. Cook for 2 minutes. Add the shrimp and carrot. Stir-fry for 30 seconds.
1 bunch green onion, 3 cloves garlic, ¼ lb. chicken thigh
Combine Knorr Crab and Corn Soup with 500 ml. water. Mix well. Pour the mixture into the cooking pot. Stir and continue cooking until the sauce thickens.
37 grams Knorr crab and Corn soup, 2 cups water
Add the quail eggs, oyster sauce, and sesame oil. Season with ground white pepper.
12 pieces quail eggs, 2 tablespoons oyster sauce, 1 teaspoon sesame oil
Arrange the bok choy around the plate and then pour the sauce over the crispy noodles. Serve warm. Share and enjoy!",2024-08-08 15:19:45,1
How to Cook Easy Pork Afritada,"▢
2 lbs. pork belly cut into large cubes
▢
1 piece Knorr Pork Cube
▢
3 pieces hotdogs sliced
▢
2 pieces potatoes cut into large cubes
▢
3 pieces carrots cut into large cubes
▢
16 ounces tomato sauce
▢
3 pieces bay leaves
▢
1 piece red bell pepper
▢
1 piece green bell pepper
▢
5 cloves garlic chopped
▢
1 piece onion chopped
▢
1 1/2 cups water
▢
Salt and ground black pepper to taste
▢
3 tablespoons cooking oil","Heat oil in a cooking pot. Fry the pork belly until the color of the outer part turns light to medium brown. Remove the pork and place on a clean plate. Set aside.
Put the hotdogs into the pot. Fry it for 1 minute. Remove and set aside.
Using the remaining oil, sauté the garlic and onion.
Add the pork back once the onion softens. Sauté it for 1 minute.
Pour the tomato sauce into the cooking pot. Add water. Let the mixture boil.
Add Knorr Pork Cube and bay leaves. Cover the pot and simmer for 1 hour or until the pork tenderizes.
Add the hotdogs, potato, and carrot. Cook for 5 minutes.
Add the bell peppers and season with salt and ground black pepper. Cook for 3 minutes.
Serve with white rice. Share and enjoy!",2024-08-08 15:19:45,1
Pork and Shrimp Siomai with Chili Garlic Oil,"▢
3 lbs. ground pork
▢
1 cup shrimp minced see notes
▢
12 ml. Knorr Liquid Seasoning
▢
½ cup onion minced
▢
½ cup carrot minced
▢
¼ cup green onion minced
▢
4 tablespoons cornstarch
▢
1 piece egg
▢
2 teaspoons sesame oil
▢
½ teaspoon salt
▢
¼ teaspoon ground black pepper
▢
50 pieces wonton wrapper","Prepare the shumai by combining pork, shrimp, onion, carrot, green onion, and egg in a bowl. Mix well and then add Knorr Liquid Seasoning, sesame oil, salt, and ground black pepper. Continue mixing until the ingredients are well distributed.
Gradually add the cornstarch as needed. Note: this is a binding ingredient that helps absorb moisture from the mixture.
Put steamer liners on your steamer. Arrange the siomai on top. Steam for 20 to 30 minutes.
Make the chili garlic oil by mincing the garlic and Thai chili pepper in a food processor.
Pour 1 1/2 cups of cooking oil in a wok and then add the minced garlic and chili peppers along with star anise and dried bay leaves. Turn on the heat of the stove to the lowest setting. Gradually stir the mixture while cooking for 30 to 45 minutes.
Add vinegar, brown sugar, salt, and oyster sauce unto the mixture. Continue cooking for 3 minutes.
Remove the star anise and dried bay leaves.
Arrange the siomai on a serving plate and top with chili garlic oil then serve with a dipping sauce composed of soy sauce and calamansi.
Share and enjoy!",2024-08-08 15:19:45,1
Pork Chop Steak,"▢
4 lbs. pork chop
▢
1 piece Knorr Pork Cube
▢
½ cup soy sauce
▢
1 piece lemon
▢
4 pieces yellow onions sliced into rings
▢
10 cloves garlic crushed and chopped
▢
1 teaspoon cornstarch
▢
2 cups water
▢
3 tablespoons cooking oil
▢
Ground black pepper to taste","In a large bowl, combine pork chops, soy sauce, 5 cloves chopped garlic, juice of 1 lemon, and some ground black pepper. Mix it well. Marinate for at least 30 minutes.
Heat 1 tablespoon of cooking oil in a pan. Fry the pork chops for around 2 ½ minutes per side. Remove from the pan and set aside.
Heat the remaining oil. Sauté half of the onions and the remaining garlic.
Add the pork chops once the onion softens. Continue to sauté for 2 minutes.
Pour the remaining marinade and water into the pan. Let the liquid boil.
Add Knorr Pork Cube. Cover the pan and. Adjust the heat to the lowest setting. Simmer for 45 to 60 minutes or until the pork chop becomes tender.
Combine cornstarch with ¼ cup water. Stir until well blended and then pour the mixture into the pan.
Add the remaining onions. Cover the pan and continue cooking for 3 minutes.
Transfer to a serving plate. Serve with warm rice.
Share and enjoy!",2024-08-08 15:19:45,1
Creamy Tofu with Mixed Vegetables,"▢
48 ounces extra firm tofu diced
▢
35 grams Knorr Cream of Mushroom
▢
1 piece Knorr Chicken Cube
▢
½ cup all-purpose cream
▢
¾ cup green peas
▢
¾ cup carrots diced
▢
¾ cups corn kernels
▢
1 piece onion minced
▢
3 cloves garlic minced
▢
2 tablespoons roasted garlic optional
▢
3 tablespoons butter
▢
1 cup cooking oil
▢
2 cups water","Salt and ground black pepper to taste
Deep fry the tofu until it turns golden brown. Set aside.
Melt butter in a pan and then add 2 tablespoons of cooking oil. Sauté the garlic and onion until the onion softens.
Add the fried tofu. Saute for 30 seconds.
Add the green peas, carrots, and corn. Saute for 2 minutes.
Put-in the Knorr Chicken Cube.
Combine water and Knorr Cream of Mushroom. Mix well and then pour the mixture into the pan. Stir.
Pour the heavy cream. Adjust the heat to the lowest setting. Simmer until the sauce reduces to half.
Add some toasted garlic (if desired) and season with salt and ground black pepper.",2024-08-08 15:19:45,1
Egg Fried Rice Recipe,"▢
4 eggs see note 1
▢
4 cups leftover rice see note 2
▢
1 onion chopped
▢
1/2 bell pepper chopped
▢
3 sweet peppers chopped
▢
2 tablespoons soy sauce
▢
1 teaspoon sesame oil
▢
3/4 cup green onion chopped
▢
1/4 teaspoon salt
▢
1/2 teaspoon sugar see note 3
▢
4 tablespoons cooking oil","Crack the eggs and place in a bowl.
Heat oil in a wok. Once the oil gets hot, pour the eggs into the wok. Cook until the bottom part turns brown and somewhat crispy. Turn the eggs over and do the same to the other side.
Add the peppers and onion. Sauté the ingredients for 1 minute while breaking the eggs apart.
Add half of the leftover rice. Stir fry for 2 minutes.
Add the remaining rice. Continue cooking until all the ingredients are well blended.
Pour the sesame oil and soy sauce. Continue stir frying for 2 minutes.
Season with salt and sugar and add the green onions. Toss until well blended.
Transfer to a serving plate. Serve with your favorite main dish.
Share and enjoy!",2024-08-08 15:19:45,1
Beef Chop Suey,"▢
1 lb. beef top sirloin sliced into thin pieces
▢
5 cloves garlic minced
▢
1 yellow onion sliced thinly
▢
3 stems green onion cut into 2-inch length
▢
½ head cabbage sliced into serving pieces
▢
2 carrots julienne
▢
1 red bell pepper sliced into thick strips
▢
2 cups snap peas
▢
1 tablespoon soy sauce
▢
3 tablespoons cooking oil
▢
½ cup beef stock
▢
8 grams Maggi Magic Sarap","Combine the sliced beef and all the marinade ingredients in a bowl. After that, mix everything well. Set aside for 12 minutes.
2 tablespoons soy sauce, 1 ½ tablespoons oyster sauce, ¼ teaspoon baking soda, 2 teaspoons cornstarch, ¼ teaspoon ground black pepper, 1 tablespoon cooking oil, 1 lb. beef top sirloin
Meanwhile, start to partially cook the vegetables. Heat 2 tablespoons of oil in a wide pan. Stir fry the cabbage, snap peas, carrot, and bell pepper for 1 minute. Sprinkle some salt to flavor it and then pour ¼ cup of beef broth. Cover the pan and let the liquid boil. Continue steaming for 1 minute. Then remove the cover of the pan. Let the remaining liquid evaporate. Set the vegetables aside.
½ head cabbage, 2 carrots, 1 red bell pepper, 2 cups snap peas, 3 tablespoons cooking oil, 8 grams Maggi Magic Sarap, ½ cup beef stock
Heat the remaining oil on the same pan. Once the oil gets hot, stir-fry the marinated beef until the outside part turns light brown.
3 tablespoons cooking oil
Add the minced garlic, white part of the green onion, and sliced onions. Continue to stir-fry until the onion softens.
5 cloves garlic, 3 stems green onion, 1 yellow onion
Add the stir-fried vegetables. Then toss to distribute the ingredients evenly.
Pour 1 tablespoon soy sauce and remaining beef broth. Stir and continue cooking until the sauce thickens.
1 tablespoon soy sauce, ½ cup beef stock
Season with Maggi Magic Sarap as needed.
8 grams Maggi Magic Sarap
Transfer to a serving plate. Share and enjoy!",2024-08-09 02:02:12,2
Mie Goreng,"▢
230 grams Egg Noodles
▢
4 ounces chicken breast sliced into serving pieces
▢
3 ounces shrimp deveined and shells removed
▢
3 eggs beaten
▢
1 ¼ cup mung bean sprouts
▢
3 green onions cut into 2-inch pieces
▢
3 baby bok choy chopped
▢
5 cloves garlic minced
▢
1 quart water
▢
4 tablespoons cooking oil","Start by mixing all the sauce ingredients and set aside.
3 tablespoons kecap manis, 3 tablespoons soy sauce, 1 tablespoon Oyster Sauce, 2 tablespoons tomato ketchup, 2 teaspoons sambal oelek, 2 teaspoons Sesame Oil
Boil 1 quart of water in a wok. Add Good Life Egg Noodles. Continue boiling while gently stirring for 2 minutes.
230 grams Egg Noodles, 1 quart water
Discard the water. Set the noodles aside.
Heat 2 tablespoons of cooking oil. Pour the beaten eggs. Cook the eggs until they become firm.
4 tablespoons cooking oil, 3 eggs
Cut them into pieces using the tip of your spatula or cooking spoon. Set aside.
Heat the remaining oil in the same pan. Add the garlic. Sauté until it starts to brown.
5 cloves garlic
Add the sliced chicken. Continue sautéing for 2 minutes.
4 ounces chicken breast
Add the shrimp. Stir-fry for 1 minute.
3 ounces shrimp
Add the green onions, bok choy, and mung bean sprouts. Cook this for 1 minute.
3 green onions, 3 baby bok choy, 1 ¼ cup mung bean sprouts
Stir in the cooked Good Life Egg Noodles. Toss.
Pour the sauce mixture into the wok. Toss again until all the ingredients are well blended.
Transfer to a serving plate. Share and enjoy!",2024-08-09 02:02:12,2
Batangas Kaldereta,"▢
3 lbs beef chuck sliced into 1 ½ inch cubes
▢
3 pcs red onions chopped
▢
8 cloves garlic chopped
▢
3 oz liver spread
▢
2 tbsp peanut butter optional
▢
1/4 cup cheddar cheese shredded
▢
3 tbsp sweet pickle relish
▢
1 tsp annatto powder
▢
1 tbsp beef powder
▢
3 pcs Thai chili pepper chopped
▢
1/4 cup soy sauce
▢
3 tbsp Worcestershire sauce
▢
4 cups water
▢
3 tbsp margarine
▢
2 tbsp breadcrumbs
▢
salt to taste
▢
ground black pepper to taste","Combine the beef and soy sauce in a bowl. Mix well. Marinate for 30 minutes.
3 lbs beef chuck, 1/4 cup soy sauce
Melt the margarine in a pan. Add the annatto powder and stir.
1 tsp annatto powder, 3 tbsp margarine
Add the garlic and sauté until it starts to brown. Add the onion and continue to sauté until it becomes soft.
8 cloves garlic, 3 pcs red onions
Add the marinated beef. Sauté until the outer part turns light brown. Make sure to stir frequently while cooking to ensure that all sides are cooked evenly.
Add the Worcestershire sauce and pickle relish. Cook for 2 minutes.
3 tbsp Worcestershire sauce, 3 tbsp sweet pickle relish
Pour in the water and let it boil.
4 cups water
Add the beef powder. Stir and cover the pan. Simmer until the beef becomes tender.
1 tbsp beef powder
Add the liver spread, peanut butter (optional), cheese, and chili peppers. Stir until the sauce smoothens. The sauce will thicken partially after a few minutes.
2 tbsp peanut butter, 1/4 cup cheddar cheese, 3 pcs Thai chili pepper, 3 oz liver spread
Continue cooking on low heat for 5 minutes. Make sure to stir occasionally to prevent the sauce and meat from sticking to the bottom of the pan.
Add the breadcrumbs. This ingredient will make the sauce thicker.
2 tbsp breadcrumbs
Season with salt and ground black pepper.
ground black pepper to taste, salt to taste
Serve and dig in!",2024-08-09 02:02:12,2
Burger Steak Sardinas,"▢
2 cans sardines in tomato sauce
▢
1 banana blossoms minced
▢
1 egg
▢
½ cup all-purpose flour
▢
1 teaspoon onion powder
▢
½ teaspoon garlic powder
▢
½ teaspoon salt
▢
¼ teaspoon ground black pepper
▢
¼ cup cooking oil","Arrange the minced banana blossom in a bowl. Add 1 tablespoon of salt. Rub it all over. Wash the salt off and drain the excess water.
1 banana blossoms
Separate the sardines from the sauce. Combine the sardines and banana heart. Add 1 egg, ½ teaspoon garlic powder, 1 teaspoon onion powder, ½ teaspoon salt, and ¼ teaspoon ground black pepper. Mix everything together while mashing the sardines in the process.
2 cans sardines in tomato sauce, 1 egg, 1 teaspoon onion powder, ½ teaspoon garlic powder, ½ teaspoon salt, ¼ teaspoon ground black pepper
Gradually add all-purpose flour. Continue mixing until the mixture becomes firm.
½ cup all-purpose flour
Scoop around ¼ cup of the mixture and shape it into patties. Set aside.
Make the gravy by melting the butter in a saucepan. Add all-purpose flour. Stir while cooking until lumps form and the mixture turns medium brown in color. Add the sauce from the canned sardines and half of the amount of milk while constantly stirring. Add more milk as needed until your desired consistency is achieved. Season with onion powder, salt, and ground black pepper. Set aside.
2 tablespoons butter, 5 tablespoons all-purpose flour, 1 teaspoon onion powder, Salt and ground black pepper to taste, 1 cup milk
Meanwhile, heat 2 tablespoons of cooking oil in a clean pan. Fry the burger patties in medium heat until it browns. Do the same thing on the opposite side.
¼ cup cooking oil
Arrange the sardines burger steak on a plate and then top with the gravy.
Serve this with rice. Share and enjoy!",2024-08-09 02:02:12,2
Kung Pao Chicken,"▢
1 ½ lbs boneless chicken thigh diced
▢
1 tablespoon soy sauce
▢
1 tablespoon Shaoxing cooking wine
▢
2 teaspoons cornstarch
▢
A pinch of salt","Combine chicken, 1 tablespoon soy sauce,1 tablespoon Shaoxing rice wine, 2 teaspoons cornstarch, and a pinch of salt in a bowl. Mix well. Set aside.
Combine all the kung pao sauce ingredients in a separate bowl. Mix well. Set aside.
Start to stir fry by heating 3 tablespoons of cooking oil in a wok. Add the dried chilies. Stir fry for 5 seconds.
Add the marinated chicken. Stir fry for 2 minutes.
Add the garlic, white part of the green onion, and ginger. Continue to stir fry for 20 seconds before adding the bell pepper, zucchini, and peanuts, and remaining green onions. Stir fry for 45 seconds to 1 minute.
Pour the sauce into the wok. Stir fry until the chicken is coated evenly. Note: you can add around 1 to 3 tablespoons of water (as needed) while stir frying to prevent the sauce from clumping.
Transfer to a serving plate. Serve with rice.
Share and enjoy!",2024-08-09 02:02:12,2
